10001
(00000) Freq	Fast Fourier Transform
(00187) +18.60    |  -9.05497 j -0.52966
(00188) +18.70    | +15.76155 j +0.92693
(00189) +18.80    | -16.41528 j -0.97055
(00190) +18.90    | +10.83249 j +0.64388
(00191) +19.00    |  -1.19755 j -0.07156
(00192) +19.10    |  -8.79075 j -0.52807
(00193) +19.20    | +15.33840 j +0.92622
(00194) +19.30    | -15.99647 j -0.97100
(00195) +19.40    | +10.57625 j +0.64532
(00196) +19.50    |  -1.19742 j -0.07344
(00197) +19.60    |  -8.53997 j -0.52646
(00198) +19.70    | +14.93665 j +0.92551
(00199) +19.80    | -15.59872 j -0.97145
(00200) +19.90    | +10.33283 j +0.64676
(00201) +20.00    |  -1.19729 j -0.07532
(00202) +20.10    |  -8.30163 j -0.52486
(00203) +20.20    | +14.55471 j +0.92479
(00204) +20.30    | -15.22048 j -0.97190
(00205) +20.40    | +10.10129 j +0.64820
(00206) +20.50    |  -1.19715 j -0.07720
(00207) +20.60    |  -8.07482 j -0.52326
(00208) +20.70    | +14.19115 j +0.92407
(00209) +20.80    | -14.86035 j -0.97234
(00210) +20.90    |  +9.88077 j +0.64963
(00211) +21.00    |  -1.19701 j -0.07908
(00212) +21.10    |  -7.85872 j -0.52165
(00213) +21.20    | +13.84467 j +0.92335
(00214) +21.30    | -14.51706 j -0.97278
(00215) +21.40    |  +9.67051 j +0.65106
(00216) +21.50    |  -1.19686 j -0.08096
(00217) +21.60    |  -7.65259 j -0.52004
(00218) +21.70    | +13.51409 j +0.92263
(00219) +21.80    | -14.18943 j -0.97321
(00220) +21.90    |  +9.46979 j +0.65249
(00221) +22.00    |  -1.19672 j -0.08283
(00222) +22.10    |  -7.45575 j -0.51843
(00223) +22.20    | +13.19833 j +0.92190
(00224) +22.30    | -13.87643 j -0.97364
(00225) +22.40    |  +9.27798 j +0.65392
(00226) +22.50    |  -1.19657 j -0.08471
(00227) +22.60    |  -7.26759 j -0.51682
(00228) +22.70    | +12.89642 j +0.92117
(00229) +22.80    | -13.57708 j -0.97407
(00230) +22.90    |  +9.09450 j +0.65535
(00231) +23.00    |  -1.19641 j -0.08659
(00232) +23.10    |  -7.08753 j -0.51520
(00233) +23.20    | +12.60745 j +0.92043
(00234) +23.30    | -13.29051 j -0.97450
(00235) +23.40    |  +8.91881 j +0.65677
(00236) +23.50    |  -1.19625 j -0.08847
